Time,PosX,PosY,PosZ,VelX,VelY,VelZ,KineticEnergy
17.75,3.87104,-10.9077,-8.96066,-0.108112,-5.08768,-2.58153,16.815
17.8,3.84145,-11.163,-9.0838,-0.91456,-5.10311,-2.37334,16.7894
17.85,3.77174,-11.4157,-9.19424,-1.71121,-5.00898,-2.08926,16.7234
17.9,3.66312,-11.6604,-9.28827,-2.47353,-4.80227,-1.73187,16.6183
17.95,3.51808,-11.8915,-9.36237,-3.17575,-4.48458,-1.30682,16.4763
18,3.3404,-12.1034,-9.4134,-3.79239,-4.06276,-0.822908,16.3011
18.05,3.13508,-12.2915,-9.43878,-4.30001,-3.5491,-0.291938,16.0976
18.1,2.90816,-12.4516,-9.43657,-4.67902,-2.96094,0.271762,15.8719
18.15,2.66653,-12.5805,-9.4056,-4.91528,-2.31972,0.852055,15.6306
18.2,2.41758,-12.6765,-9.34557,-5.00129,-1.64952,1.43193,15.3813
18.25,2.16886,-12.7387,-9.25699,-4.93669,-0.975374,1.99454,15.1314
18.3,1.92773,-12.7677,-9.14121,-4.72811,-0.321387,2.5242,14.8885
18.35,1.70102,-12.7652,-9.0003,-4.38839,0.290854,3.00727,14.6593
18.4,1.49478,-12.7338,-8.83692,-3.93514,0.843543,3.43282,14.4501
18.45,1.31408,-12.6769,-8.6542,-3.3892,1.3234,3.79298,14.2661
18.5,1.16287,-12.5985,-8.45557,-2.77288,1.72186,4.08305,14.1113
18.55,1.04401,-12.5026,-8.24458,-2.10847,2.03487,4.30131,13.9887
18.6,0.959265,-12.3937,-8.02481,-1.41691,2.26227,4.44868,13.9002
18.65,0.909418,-12.276,-7.79973,-0.716982,2.40699,4.52824,13.8467
18.7,0.894396,-12.1533,-7.57258,-0.0247476,2.47424,4.54469,13.8281
18.75,0.913406,-12.0294,-7.34636,0.646635,2.47066,4.50387,13.8438
18.8,0.965086,-11.9077,-7.12372,1.28685,2.40367,4.41222,13.8925
18.85,1.04764,-11.791,-6.90702,1.88819,2.28086,4.27648,13.9723
18.9,1.15894,-11.6819,-6.69826,2.4452,2.10966,4.10329,14.0811
18.95,1.29667,-11.5826,-6.49911,2.95435,1.897,3.89904,14.2168
